[12:32:27] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:32:30] [ServerMain/INFO]: Loaded 7 recipes
[12:32:31] [ServerMain/INFO]: Loaded 1179 advancements
[12:32:33] [Server thread/INFO]: Starting minecraft server version 1.19.4
[12:32:33] [Server thread/INFO]: Loading properties
[12:32:33] [Server thread/INFO]: Default game type: SURVIVAL
[12:32:33] [Server thread/INFO]: Generating keypair
[12:32:33] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:32:33] [Server thread/INFO]: Using default channel type
[12:32:33] [Server thread/INFO]: Preparing level "world"
[12:33:54] [Server thread/INFO]: Time elapsed: 66867 ms
[12:33:54] [Server thread/INFO]: Done (80.795s)! For help, type "help"
[12:45:07] [Server thread/INFO]: Stopping the server
[12:45:07] [Server thread/INFO]: Stopping server
[12:45:07] [Server thread/INFO]: Saving players
[12:45:07] [Server thread/INFO]: Saving worlds
[12:45:11] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[12:45:12] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[12:45:12] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[12:45:12] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[12:45:12] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[12:45:12] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[12:45:12] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
